FAIL;SEC-IPV6-STATUS-CHECK-001;Ensure system is checked to determine if IPv6 is enabled; - IPv6 może być włączone na poziomie GRUB.; - IPv6 może być włączone w ustawieniach sysctl.
PASS;SEC-WIRELESS-INTERFACES-DISABLED-001;Upewnij się, że interfejsy bezprzewodowe są wyłączone;
PASS;SEC-DCCP-DISABLED-001;Ensure DCCP is disabled;
PASS;SEC-SCTP-DISABLED-001;Ensure SCTP is disabled;
PASS;SEC-RDS-DISABLED-001;Ensure RDS is disabled;
PASS;SEC-TIPC-DISABLED-001;Ensure TIPC is disabled;
FAIL;SEC-PACKET-REDIRECT-DISABLED-001;Ensure packet redirect sending is disabled; - Parametr net.ipv4.conf.all.send_redirects jest ustawiony na 1 zamiast 0.; - Parametr net.ipv4.conf.default.send_redirects jest ustawiony na 1 zamiast 0.
FAIL;SEC-IP-FORWARDING-DISABLED-001;Ensure IP forwarding is disabled; - Parametr net.ipv4.ip_forward jest niepoprawnie ustawiony w pliku konfiguracyjnym.
FAIL;SEC-SOURCE-ROUTED-PACKETS-DISABLED-001;Ensure source routed packets are not accepted; - Parametr net.ipv4.conf.default.accept_source_route jest ustawiony na 1 zamiast 0.
FAIL;SEC-ICMP-REDIRECTS-NOT-ACCEPTED-001;Ensure ICMP redirects are not accepted; - Parametr net.ipv4.conf.all.accept_redirects jest ustawiony na 1 zamiast 0.; - Parametr net.ipv4.conf.default.accept_redirects jest ustawiony na 1 zamiast 0.
FAIL;SEC-SECURE-ICMP-REDIRECTS-NOT-ACCEPTED-001;Ensure secure ICMP redirects are not accepted; - Parametr net.ipv4.conf.default.secure_redirects jest ustawiony na 1 zamiast 0.; - Parametr net.ipv4.conf.all.secure_redirects jest ustawiony na 1 zamiast 0.; - Parametr net.ipv4.conf.all.secure_redirects jest niepoprawnie ustawiony w pliku konfiguracyjnym.
FAIL;SEC-SUSPICIOUS-PACKETS-LOGGED-001;Ensure suspicious packets are logged; - Parametr net.ipv4.conf.all.log_martians jest ustawiony na 0 zamiast 1.; - Parametr net.ipv4.conf.default.log_martians jest ustawiony na 0 zamiast 1.
PASS;SEC-ICMP-ECHO-IGNORE-BROADCASTS-001;Ensure broadcast ICMP requests are ignored;
PASS;SEC-ICMP-IGNORE-BOGUS-ERROR-RESPONSES-001;Ensure bogus ICMP responses are ignored;
